open,high,low,close,volume,time
53.899,54.013,52.655,53.215,9559005.8546,2022-12-09 00:00:00
53.213,53.230,52.823,52.891,4981007.3293,2022-12-10 00:00:00
52.896,53.142,51.850,52.218,6461591.1337,2022-12-11 00:00:00
52.208,53.539,50.980,53.200,13427488.8893,2022-12-12 00:00:00
53.224,53.950,52.104,53.520,15419320.5770,2022-12-13 00:00:00
53.521,53.540,51.000,52.260,15086272.2393,2022-12-14 00:00:00
52.289,52.749,51.219,52.076,10257128.1421,2022-12-15 00:00:00
52.072,52.150,47.280,48.201,16081166.9382,2022-12-16 00:00:00
48.201,49.000,47.628,48.637,8312011.6302,2022-12-17 00:00:00
48.649,48.701,47.628,47.885,6984046.5635,2022-12-18 00:00:00
47.885,48.149,45.600,46.465,12604131.7796,2022-12-19 00:00:00
